"","learn method","mmce","acc","auc","ce"
"303","classif.gbm",0.0555555555555556,0.944444444444444,0.663602941176471,0.327205882352941
"304","classif.lda",0.125,0.875,0.654411764705882,0.308823529411765
"305","classif.mlp",0.0555555555555556,0.944444444444444,0.612132352941177,0.224264705882353
"306","classif.randomForest",0.152777777777778,0.847222222222222,0.762867647058823,0.525735294117647
"307","classif.rpart",0.152777777777778,0.847222222222222,0.738970588235294,0.477941176470588
"308","classif.glmnet",0.111111111111111,0.888888888888889,0.647058823529412,0.294117647058824
"309","classif.nnet",0.152777777777778,0.847222222222222,0.702205882352941,0.404411764705882
"310","classif.multinom",0.138888888888889,0.861111111111111,0.632352941176471,0.264705882352941
"311","classif.naiveBayes",0.263888888888889,0.736111111111111,0.665178571428571,0.330357142857143
"312","classif.svm",0.208333333333333,0.791666666666667,0.463169642857143,-0.0736607142857143
"313","classif.gbm",0.222222222222222,0.777777777777778,0.704241071428571,0.408482142857143
"314","classif.lda",0.236111111111111,0.763888888888889,0.670758928571429,0.341517857142857
"315","classif.mlp",0.222222222222222,0.777777777777778,0.6875,0.375
"316","classif.randomForest",0.208333333333333,0.791666666666667,0.681361607142857,0.362723214285714
"317","classif.rpart",0.236111111111111,0.763888888888889,0.579799107142857,0.159598214285714
"318","classif.glmnet",0.222222222222222,0.777777777777778,0.682477678571429,0.364955357142857
"319","classif.nnet",0.222222222222222,0.777777777777778,0.584263392857143,0.168526785714286
"320","classif.multinom",0.222222222222222,0.777777777777778,0.672991071428571,0.345982142857143
"321","classif.naiveBayes",0.136986301369863,0.863013698630137,0.682291666666667,0.364583333333333
"322","classif.svm",0.123287671232877,0.876712328767123,0.557291666666667,0.114583333333333
"323","classif.gbm",0.123287671232877,0.876712328767123,0.730034722222222,0.460069444444444
"324","classif.lda",0.0958904109589041,0.904109589041096,0.692708333333333,0.385416666666667
"325","classif.mlp",0.123287671232877,0.876712328767123,0.644097222222222,0.288194444444444
"326","classif.randomForest",0.123287671232877,0.876712328767123,0.782118055555556,0.564236111111111
"327","classif.rpart",0.123287671232877,0.876712328767123,0.590277777777778,0.180555555555556
"328","classif.glmnet",0.10958904109589,0.89041095890411,0.678819444444444,0.357638888888889
"329","classif.nnet",0.123287671232877,0.876712328767123,0.598090277777778,0.196180555555556
"330","classif.multinom",0.10958904109589,0.89041095890411,0.6875,0.375
"331","classif.naiveBayes",0.180555555555556,0.819444444444444,0.754166666666667,0.508333333333333
"332","classif.svm",0.152777777777778,0.847222222222222,0.533333333333333,0.0666666666666667
"333","classif.gbm",0.166666666666667,0.833333333333333,0.834722222222222,0.669444444444445
"334","classif.lda",0.111111111111111,0.888888888888889,0.876388888888889,0.752777777777778
